ID,X,Y,FalseY,GroundType,Density,Zcount
5050,50,50,-50,Unknown,0,0
15050,150,50,-50,Unknown,0,0
25050,250,50,-50,Unknown,0,0
35050,350,50,-50,Unknown,0,0
45050,450,50,-50,Unknown,0,0
55050,550,50,-50,Unknown,0,0
65050,650,50,-50,Unknown,0,0
75050,750,50,-50,Unknown,0,0
85050,850,50,-50,Unknown,0,0
95050,950,50,-50,Unknown,0,0
105050,1050,50,-50,Unknown,0,0
115050,1150,50,-50,Unknown,0,0
125050,1250,50,-50,Unknown,0,0
135050,1350,50,-50,Unknown,0,0
145050,1450,50,-50,Unknown,0,0
155050,1550,50,-50,Unknown,0,0
165050,1650,50,-50,Unknown,0,0
175050,1750,50,-50,Unknown,0,0
185050,1850,50,-50,Unknown,0,0
195050,1950,50,-50,Unknown,0,0
205050,2050,50,-50,Unknown,0,0
215050,2150,50,-50,Unknown,0,0
225050,2250,50,-50,Unknown,0,0
235050,2350,50,-50,Unknown,0,0
245050,2450,50,-50,Unknown,0,0
255050,2550,50,-50,Unknown,0,0
265050,2650,50,-50,Unknown,0,0
275050,2750,50,-50,Unknown,0,0
285050,2850,50,-50,Unknown,0,0
295050,2950,50,-50,Unknown,0,0
305050,3050,50,-50,Unknown,0,0
315050,3150,50,-50,Unknown,0,0
325050,3250,50,-50,Unknown,0,0
335050,3350,50,-50,Unknown,0,0
345050,3450,50,-50,Unknown,0,0
355050,3550,50,-50,Unknown,0,0
365050,3650,50,-50,Unknown,0,0
375050,3750,50,-50,Unknown,0,0
385050,3850,50,-50,Unknown,0,0
395050,3950,50,-50,Unknown,0,0
405050,4050,50,-50,Unknown,0,0
415050,4150,50,-50,Unknown,0,0
425050,4250,50,-50,Unknown,0,0
435050,4350,50,-50,Unknown,0,0
445050,4450,50,-50,Unknown,0,0
455050,4550,50,-50,Unknown,0,0
465050,4650,50,-50,Unknown,0,0
475050,4750,50,-50,Unknown,0,0
485050,4850,50,-50,Unknown,0,0
495050,4950,50,-50,Unknown,0,0
505050,5050,50,-50,Unknown,0,0
515050,5150,50,-50,Unknown,0,0
525050,5250,50,-50,Unknown,0,0
535050,5350,50,-50,Unknown,0,0
545050,5450,50,-50,Unknown,0,0
555050,5550,50,-50,Unknown,0,0
565050,5650,50,-50,Unknown,0,0
575050,5750,50,-50,Unknown,0,0
585050,5850,50,-50,Unknown,0,0
595050,5950,50,-50,Unknown,0,0
605050,6050,50,-50,Unknown,0,0
615050,6150,50,-50,Unknown,0,0
625050,6250,50,-50,Unknown,0,0
635050,6350,50,-50,Unknown,0,0
645050,6450,50,-50,Unknown,0,0
655050,6550,50,-50,Unknown,0,0
665050,6650,50,-50,Unknown,0,0
675050,6750,50,-50,Unknown,0,0
685050,6850,50,-50,Unknown,0,0
695050,6950,50,-50,Unknown,0,0
705050,7050,50,-50,Unknown,0,0
715050,7150,50,-50,Unknown,0,0
725050,7250,50,-50,Unknown,0,0
735050,7350,50,-50,Unknown,0,0
745050,7450,50,-50,Unknown,0,0
755050,7550,50,-50,Unknown,0,0
765050,7650,50,-50,Unknown,0,0
775050,7750,50,-50,Unknown,0,0
785050,7850,50,-50,Unknown,0,0
795050,7950,50,-50,Unknown,0,0
805050,8050,50,-50,Unknown,0,0
815050,8150,50,-50,Unknown,0,0
825050,8250,50,-50,Unknown,0,0
835050,8350,50,-50,Unknown,0,0
845050,8450,50,-50,Unknown,0,0
855050,8550,50,-50,Unknown,0,0
865050,8650,50,-50,Unknown,0,0
875050,8750,50,-50,Unknown,0,0
885050,8850,50,-50,Unknown,0,0
895050,8950,50,-50,Unknown,0,0
905050,9050,50,-50,Unknown,0,0
915050,9150,50,-50,Unknown,0,0
925050,9250,50,-50,Unknown,0,0
935050,9350,50,-50,Unknown,0,0
945050,9450,50,-50,Unknown,0,0
955050,9550,50,-50,Unknown,0,0
965050,9650,50,-50,Unknown,0,0
975050,9750,50,-50,Unknown,0,0
985050,9850,50,-50,Unknown,0,0
995050,9950,50,-50,Unknown,0,0
1005050,10050,50,-50,Unknown,0,0
1015050,10150,50,-50,Unknown,0,0
1025050,10250,50,-50,Unknown,0,0
1035050,10350,50,-50,Unknown,0,0
1045050,10450,50,-50,Unknown,0,0
1055050,10550,50,-50,Unknown,0,0
1065050,10650,50,-50,Unknown,0,0
1075050,10750,50,-50,Unknown,0,0
1085050,10850,50,-50,Unknown,0,0
1095050,10950,50,-50,Unknown,0,0
1105050,11050,50,-50,Unknown,0,0
1115050,11150,50,-50,Unknown,0,0
1125050,11250,50,-50,Unknown,0,0
1135050,11350,50,-50,Unknown,0,0
1145050,11450,50,-50,Unknown,0,0
1155050,11550,50,-50,Unknown,0,0
1165050,11650,50,-50,Unknown,0,0
1175050,11750,50,-50,Unknown,0,0
1185050,11850,50,-50,Unknown,0,0
1195050,11950,50,-50,Unknown,0,0
1205050,12050,50,-50,Unknown,0,0
1215050,12150,50,-50,Unknown,0,0
1225050,12250,50,-50,Unknown,0,0
1235050,12350,50,-50,Unknown,0,0
1245050,12450,50,-50,Unknown,0,0
1255050,12550,50,-50,Unknown,0,0
1265050,12650,50,-50,Unknown,0,0
1275050,12750,50,-50,Unknown,0,0
1285050,12850,50,-50,Unknown,0,0
1295050,12950,50,-50,Unknown,0,0
1305050,13050,50,-50,Unknown,0,0
1315050,13150,50,-50,Unknown,0,0
1325050,13250,50,-50,Unknown,0,0
1335050,13350,50,-50,Unknown,0,0
1345050,13450,50,-50,Unknown,0,0
1355050,13550,50,-50,Unknown,0,0
1365050,13650,50,-50,Unknown,0,0
1375050,13750,50,-50,Unknown,0,0
1385050,13850,50,-50,Unknown,0,0
1395050,13950,50,-50,Unknown,0,0
1405050,14050,50,-50,Unknown,0,0
1415050,14150,50,-50,Unknown,0,0
1425050,14250,50,-50,Unknown,0,0
1435050,14350,50,-50,Unknown,0,0
1445050,14450,50,-50,Unknown,0,0
1455050,14550,50,-50,Unknown,0,0
1465050,14650,50,-50,Unknown,0,0
1475050,14750,50,-50,Unknown,0,0
1485050,14850,50,-50,Unknown,0,0
1495050,14950,50,-50,Unknown,0,0
1505050,15050,50,-50,Ground,0,0
1515050,15150,50,-50,Ground,0,0
1525050,15250,50,-50,Ground,0,0
1535050,15350,50,-50,Ground,0,0
1545050,15450,50,-50,Ground,0,0
1555050,15550,50,-50,Ground,2,0
1565050,15650,50,-50,Ground,2,0
1575050,15750,50,-50,Ground,0,0
1585050,15850,50,-50,Ground,0,0
